"","x"
"GCNT1",2.14537721802237
"FRMD3",-2.18285133624173
"NTRK2",1.07151448800087
"GAS1",2.92917018358605
"S1PR3",1.38792605242852
"WNK2",-2.74718503835429
"TMOD1",-2.77369812475822
"COL15A1",5.60455978377927
"PGAP4",-1.44305007766413
"TNC",1.22823126941285
"PAPPA",1.20794498881148
"LHX2",-1.19976567010582
"ANGPTL2",1.63329505226382
"CERCAM",1.00846485627968
"PRRX2",-1.69087468362289
"LAMC3",1.87383283195494
"FAM78A",-1.71802418470919
"GBGT1",1.90925903870723
"ABO",1.84092054806764
"COL5A1",2.26900670489726
"LCN1",1.46205174939656
"CLIC3",1.06068366228819
"TUBBP5",-1.631126251445
"KLF6",1.00015573832952
"AKR1C1",-3.80535755803735
"AKR1C2",-4.46578355613467
"AKR1C3",-2.95469846181449
"FAM107B",1.29087227284427
"ITGA8",1.88919489604431
"CACNB2",-2.4315499011243
"NEBL",-2.11358600127191
"APBB1IP",1.06382032616356
"CREM",-1.42367284639231
"ERCC6",1.05300194344171
"CHAT",3.68584533595533
"SLC18A3",4.76913347553766
"FAM13C",-1.1773963792909
"CTNNA3",-1.38903009526956
"HK1",-1.26212853352652
"TSPAN15",1.82648056400456
"SYNPO2L",-2.2374143889475
"FUT11",-1.21689770923226
"MAT1A",-1.02163578498481
"LDB3",-1.87387324224371
"SLC16A12",-2.55642948902022
"ANKRD1",-2.08084021691165
"PCGF5",-1.63864074614679
"PPP1R3C",-1.48289982371714
"PDLIM1",1.28118560328791
"LOXL4",3.15819847946489
"CNNM1",-1.0516179451353
"OLMALINC",-1.03182866354924
"SLF2",-1.26154556200781
"SEMA4G",-1.1583378583733
"TLX1",-1.26345703335609
"KCNIP2",-2.02673932557511
"PITX3",1.98867581570295
"MXI1",-1.22446463517695
"RBM20",-2.02166643515471
"AFAP1L2",1.80750347174765
"ABLIM1",-1.6746172350969
"SPMIP5",-1.77644878823853
"FGFR2",1.17107564111289
"TACC2",-1.11957504775156
"ADAM12",2.58619812239686
"BNIP3",-1.86814338659202
"LOC107984282",-2.04847343979627
"MTG1",1.19218484802615
"IGF2",1.006570654164
"TSSC4",1.07399430442195
"ART5",-1.55520042330476
"HBE1",-2.13022687485543
"CAVIN3",2.59003247970384
"CYB5R2",1.07442281893357
"DKK3",-1.77838207277142
"RASSF10",-1.63478883307471
"SPON1",1.44414034783178
"KCNJ11",-1.67510803125342
"LDHA",-1.45830810323654
"CSRP3",-1.58939730526713
"HTATIP2",-1.52294898056243
"FIBIN",2.62342286607971
"BDNF",1.30747373432569
"LMO2",-2.55498891642436
"PAMR1",1.29130343344931
"FJX1",2.66028630428852
"ALX4",2.52860494874351
"CREB3L1",1.44923582122785
"LRP4",1.35070396640582
"MYBPC3",-1.95723852007729
"SLC39A13",1.02260239143272
"PLAAT3",-1.06028716798486
"PYGM",-1.17880537576448
"NEAT1",-1.77517949894916
"YIF1A",1.07054265660696
"CD248",1.97038427336614
"LOC124902696",-1.707227880766
"CPT1A",-1.79296008600646
"CCND1",-1.07212113004366
"GDPD5",1.12220678394325
"DGAT2",-1.73188097157171
"LRRC32",1.39896496062937
"PRSS23",1.14435429005588
"RAB38",1.35727713163647
"NOX4",2.33533229177252
"ENDOD1",1.59288731901131
"CNTN5",2.97409722612861
"CARD16",2.59213793680257
"GRIA4",1.47022394489591
"SLN",2.86394309484996
"SLC35F2",1.33004832774331
"POGLUT3",1.21332141203293
"LAYN",1.0191954186347
"HSPB2",-2.44415759702999
"DRD2",3.07744477893646
"USP28",-1.38532887013557
"NNMT",3.35874706083684
"APOA4",-1.95774826194778
"APOC3",-1.24938250792863
"USP2",-1.31531123563602
"THY1",1.90598123100265
"SORL1",-1.4746115430112
"MIR100HG",-1.39452189117036
"LOC124902775",-1.93026177250193
"SCN3B",2.16608260608752
"ETS1",1.37108412409254
"KCNJ5",-1.99079484294576
"NTM",3.5135663528482
"SLC6A13",1.12881924946106
"B4GALNT3",-1.11698219718089
"NTF3",-1.45548599787012
"P3H3",1.33572512152731
"GNB3",2.72010339468741
"MFAP5",1.74491267737485
"A2M",-1.59300871865544
"OLR1",2.25529939709386
"CDKN1B",-1.11669480137952
"APOLD1",-1.254373315629
"GRIN2B",-1.03018370650625
"H2AJ",1.41470300012034
"ART4",2.90207283828609
"MGP",5.59276958698171
"ERP27",1.68302837069772
"ARHGDIB",2.58573967834946
"RERG",2.13004147590304
"MGST1",-1.5256099842597
"KCNJ8",-1.44631280359437
"ITPR2",2.4519720676236
"TMTC1",-2.18457898043156
"SYT10",1.86219039961023
"KIF21A",-1.6066181223334
"PDZRN4",1.49564546167535
"PRICKLE1",1.01579343501993
"AMIGO2",3.45038584347197
"COL2A1",-1.69941123333914
"CCDC184",1.13521416962088
"ZNF641",1.03199771867647
"FKBP11",1.21332036626035
"TUBA1A",1.09118458969627
"PRPH",1.28098631643766
"GALNT6",1.05543432005285
"SLC4A8",1.51743606869076
"KRT7",1.6099610792059
"IGFBP6",-1.80145564064324
"LOC124902936",-1.846435124507
"HOXC9",1.97336098268854
"HOXC8",6.53158481784487
"HOXC4",1.86558404816116
"HOXC5",2.65278408612978
"HOXC6",4.12190680409118
"LINC02381",1.34739314634767
"PPP1R1A",-2.29384066422229
"PMEL",-1.33137388431618
"TAC3",3.6208334770049
"STAT6",1.02030197371348
"MARCHF9",-1.26414284782722
"HMGA2",-1.52292765621266
"RAB3IP",-1.09169026791181
"KCNMB4",-1.088889060891
"GLIPR1",3.03015054609311
"SYT1",-1.32168379896729
"LIN7A",-2.51077063550802
"LOC105369874",-1.48101573267975
"DUSP6",-1.54341179629715
"LUM",2.17640650332584
"DCN",3.98831545358892
"BTG1",-1.58627371634442
"TMCC3",1.42884341157906
"IGF1",1.52342616977958
"GLT8D2",1.09086021960473
"TXNRD1",-1.38562689329067
"TMEM119",2.94243758882818
"ATP2A2",-1.493945306711
"TBX5",-1.86846397657969
"TBX5-AS1",-2.09992630523177
"SBNO1-AS1",-1.07336412279543
"ADGRD1",-1.40479169367979
"FGF9",-1.68562038209215
"FLT1",1.56956039161383
"MTUS2",-1.30637809925668
"MEDAG",3.48095961897835
"SMAD9",-2.32834031150157
"POSTN",4.40245228723749
"RGCC",4.32268030881882
"CYSLTR2",3.32481859640385
"ATP7B",2.81944306781363
"NEK5",2.35979376516756
"LOC101929657",2.29896507221975
"LMO7",-2.00101306602116
"KCTD12",1.03295758148416
"SLAIN1",-1.32731334832283
"LOC780529",-1.68838423480298
"POU4F1",-1.84091960724927
"EFNB2",2.71236863190647
"ADPRHL1",-1.95642526852959
"SLC39A2",3.88719290868532
"CDH24",1.3371174590933
"MYH6",-2.36850089180635
"MYH7",-2.99241668083969
"FITM1",-1.69228059761448
"STXBP6",2.23280320813673
"MDGA2",-1.05258629198573
"PYGL",-1.00174379474918
"GPR137C",-1.08086928149847
"OTX2",-1.73347292758361
"DACT1",1.25864467820859
"PRKCH",-2.18944173203151
"TMEM229B",1.59353385190676
"PIGH",1.55213917216414
"DPF3",-1.2608930285287
"VRTN",-1.89197841816087
"SYNDIG1L",-1.05751205624969
"FOS",1.88580512089685
"SAMD15",1.03000735620445
"FLRT2",1.38588872875365
"BDKRB2",1.44658719255845
"BDKRB1",3.34272108365136
"EML1",1.07122812357305
"DLK1",2.81483288357301
"MEG3",2.83992638205813
"DIO3",1.24656093940841
"CKB",-2.03174750282775
"PPP1R13B",-1.19066381392137
"ADSS1",-1.11075194687986
"CRIP2",-1.76394667778876
"CRIP1",-2.12162853915171
"PWARSN",-1.83682567850091
"ACTC1",-1.15918458999986
"THBS1",1.20259116550855
"ANKRD63",-1.80924823164618
"CAPN3",-2.32080328405336
"GATM",-1.31163671108381
"CGNL1",-1.12844279067049
"MYZAP",-1.87467535934424
"ANXA2",1.5489002841969
"SMAD6",-1.23453116589311
"ITGA11",4.12636160288385
"HCN4",-2.16825296148247
"LOXL1",2.76742323951054
"ISLR",2.26467699213314
"STRA6",1.82394915712592
"CYP1A1",-4.11693656745362
"CSPG4",1.27401437744058
"FSD2",-2.18287213151227
"ALPK3",-1.87456355578535
"NTRK3",1.42859897873191
"HAPLN3",-1.78294397039463
"ZNF710",-1.43475770363007
"MCTP2",2.0988317359526
"SYNGR3",-2.38993240208295
"NPW",1.81684903629588
"PMM2",1.13982722638521
"SOCS1",1.98032807808414
"MVP",1.69129180624602
"SEZ6L2",1.82353497416254
"BCL7C",1.01273180089552
"COX6A2",-2.46214353373677
"MYLK3",-2.61787803352133
"SALL1",-1.39779611502814
"TOX3",1.70933955021144
"IRX5",-1.26856186113338
"MT2A",1.00800223103338
"MT1G",-1.84176740671515
"MT1X",-2.34408507510799
"DOK4",-1.03393594048374
"CDH11",1.82281581230072
"RRAD",-2.36073777073372
"NQO1",-2.12296081732044
"MARVELD3",-1.24562662559762
"ADAMTS18",2.98011967792483
"VAT1L",1.86633169861929
"MAF",1.39593960639977
"OSGIN1",-1.43367123854534
"CRISPLD2",3.36188800574029
"ZNF469",1.33112911328397
"TUBB3",1.09243058947773
"RFLNB",1.76045120235834
"SERPINF1",2.12227858441229
"LOC105371498",3.76566109926854
"ALOX15",3.4653445496168
"ENO3",-2.31355003960528
"SLC13A5",-1.53018842181685
"SLC2A4",-2.93047651450552
"FGF11",-1.33344767319426
"ATP1B2",-1.95653678446474
"DNAH2",1.27355628861523
"CYB5D1",1.31054706004505
"ALOX15B",3.02279711487853
"GAS7",1.78080540376248
"MYOCD",-2.25208608076284
"HS3ST3B1",-1.28599621198042
"PMP22",2.034008744473
"TRPV2",2.03346332006605
"RASD1",-1.11196692792519
"B9D1",1.58829670096128
"MFAP4",1.68427172521186
"VTN",1.71297208616308
"ALDOC",-1.61512127984525
"CORO6",-1.05664959601038
"UNC45B",-2.24000072505353
"RASL10B",-1.15221781555267
"PNMT",-2.05561736433416
"CAVIN1",1.17603692230123
"MEOX1",5.44402110348767
"HDAC5",-1.3648204159902
"FZD2",1.14368549238007
"MYL4",-1.79263826094846
"COPZ2",2.33836991109635
"HOXB-AS3",2.52216296979082
"HOXB5",1.21378273328653
"HOXB6",1.64350782465569
"HOXB7",1.90464353131143
"HOXB8",3.8143728921912
"COL1A1",1.36097832212394
"TMEM100",1.13482227510825
"WFDC21P",2.03816816598706
"TBX2-AS1",-2.31116989947992
"TBX2",-1.78038945271423
"TBX4",2.56113029667981
"RNF157",-2.72507377449132
"AFMID",-1.30473916838945
"LGALS3BP",1.51543816799692
"MYOM1",-1.80908918749901
"LAMA1",-1.2012914447549
"CDH2",-1.11869250855939
"DSC3",1.08489719447732
"DSC2",1.03370273277459
"RNF125",-1.39291489546556
"ARK2C",-1.7756156313552
"DCC",1.22882199606544
"DOK6",-1.93284200304478
"TSHZ1",1.00301596558295
"FSTL3",1.30670862485828
"ABCA7",-1.38504227849073
"ARHGAP45",-2.21284499824727
"REEP6",-1.62554530706118
"ADAMTSL5",1.4044584610632
"ATP8B3",-2.87856506767737
"TLE2",-1.052641199369
"SHD",-2.39541744741809
"SEMA6B",-2.06794391242767
"FUT3",-2.41873578597425
"LDLR",1.60856543616467
"FAM32A",1.19023870050761
"TMEM38A",-2.29308123888519
"BST2",1.13958257334269
"GDF15",-1.62610905714211
"CERS1",-1.10400850114975
"TSHZ3",1.30344084967717
"GPI",-1.49694166059972
"HPN",-1.56963044733135
"APLP1",-1.15309933214273
"NCCRP1",-1.9940752838434
"PLD3",1.02418074546922
"CKM",-2.31885282111863
"FOSB",1.69403867630736
"FOXA3",-1.07188459482247
"TMEM160",1.06312103555331
"NAPA",1.18977050969548
"EHD2",1.2502185389744
"SNAR-C4",1.49851957008212
"SNAR-C3",1.17293799652388
"EMP3",1.88523914531371
"FTL",-1.02599715713397
"KCNA7",-1.90564321922954
"HRC",-2.65443508986455
"FCGRT",1.16829767099184
"JOSD2",1.05927990286753
"ZNF160",-1.09663726868414
"MYADM",1.18126342816219
"TNNI3",-1.72115197525939
"COX6B2",1.09658496435399
"SSC5D",2.05620399518832
"TMEM74B",-1.13331831594815
"GNRH2",-2.6966237114157
"ADAM33",1.07560923496152
"CHGB",1.61763717885446
"FLRT3",1.85708239669885
"SLC24A3",1.98763726350366
"THBD",3.2387814687001
"ID1",-2.2419611228189
"SNTA1",-2.05931434267464
"MAP1LC3A",-1.19651506430495
"MYH7B",-1.4199261189659
"GDF5",1.1125709128701
"SCAND1",1.31839904672214
"SRC",1.13345668878266
"PTPRT",3.13613367859862
"PLTP",1.50476516162024
"BMP7",-2.09985729760335
"EEF1A2",-2.42423749559244
"GRIK1",-2.53804086411649
"HUNK",1.38705795170316
"COL6A2",1.16142107183731
"P2RX6",1.1833848465122
"GGT5",1.34001411746106
"MYO18B",-1.68154175146038
"MIAT",-1.19735733990423
"LINC01638",1.39744365786948
