"","x"
"SPON2",-3.23024220143003
"TACC3",1.40618036085717
"NSG1",-2.10138326746116
"CPZ",-1.96215186728477
"NCAPG",1.58091213424863
"SLIT2",-1.18849371337355
"PPARGC1A",3.26899915763777
"SEL1L3",2.56478751682013
"FAM114A1",-1.18112792773957
"LIMCH1",2.36797066990565
"SHISA3",-1.85339512329265
"GABRA2",-1.45970557508785
"ATP10D",-1.07500588087685
"DANCR",1.07673857471342
"RASL11B",2.25479082597711
"TECRL",1.7463065954517
"ALB",1.17055327694403
"AFP",1.88382248695872
"BTC",-1.08108452401509
"ANTXR2",1.29130595167801
"PRDM8",1.43590071855654
"HSD17B11",1.02414407403777
"SPP1",-3.95517220964934
"PKD2",-1.10594022436062
"PPM1K",1.15472888067774
"HERC6",-1.1059481134842
"PDLIM5",1.2947033270232
"UNC5C",1.07573775743432
"TSPAN5",-1.89674322653443
"MTTP",2.95741509556001
"EMCN",1.20787341855419
"CENPE",1.72813366008312
"CXXC4",2.06064272506846
"NPNT",-4.0394360831445
"DKK2",-2.56315030817692
"SGMS2",-1.96139237675994
"CFI",-2.87784261146171
"PITX2",-1.25619319480318
"CAMK2D",1.27603095240623
"PRSS12",-2.73521403555944
"SEC24D",-1.83208295593713
"SYNPO2",-2.78899816362813
"MYOZ2",2.88321607590346
"NDNF",-1.41568391896621
"CCNA2",1.62459739713254
"PCDH10",-2.36129090808031
"MGARP",2.13856341101235
"MGST2",1.03900160359191
"CLGN",1.85926295557187
"HHIP",1.48057521574902
"TTC29",-2.0087669470164
"LRBA",-1.18042747133097
"MAB21L2",-1.09057675182608
"MND1",1.00898109914501
"SFRP2",-4.04785777023654
"FGB",2.51498859684828
"GUCY1A1",-1.56931593874625
"PDGFC",-1.843132467268
"GASK1B",-2.59985444163151
"CPE",-1.06046721084928
"GALNT7",-1.26106023397819
"HMGB2",1.44540060177446
"HAND2-AS1",-1.02144396865901
"GPM6A",2.6915236599203
"VEGFC",1.60130912829802
"SORBS2",1.29457203234098
"ZDHHC11B",1.39087789392311
"OTULINL",-1.17550091280566
"BASP1",-1.24773869516576
"CDH6",2.16029289113799
"C1QTNF3",-1.27133346893713
"RAI14",-1.11576397110273
"UGT3A1",2.87099957667932
"EGFLAM",-2.12572016323624
"PTGER4",-2.94841607275014
"C7",1.01291892499854
"GHR",-1.19492988743957
"FGF10",1.98694955348707
"HCN1",1.08482169555135
"ISL1-DT",1.25998823123433
"ISL1",2.10236252327769
"FST",-1.61589572726002
"LOC101928419",1.30354304725747
"PLK2",-1.07719389895934
"RGS7BP",1.51300231800666
"ADAMTS6",-2.02145144640203
"CENPH",1.2716914514004
"FOXD1",-1.38585360092977
"ARHGEF28",1.24291759846567
"F2RL2",1.78372733460675
"CRHBP",3.73707977299718
"LHFPL2",1.39977904210325
"CMYA5",2.2245574096177
"MEF2C",2.27101033867095
"CETN3",1.00400014802383
"NR2F1",2.18387127161465
"LIX1",1.91528394768479
"KCNN2",2.01517456389887
"CDO1",1.6593260807489
"MARCHF3",-2.45876991770493
"FBN2",1.39790632402937
"ADAMTS19",1.28218391175375
"PDLIM4",-1.78313381996576
"SLC22A5",-1.00749402617342
"IRF1",-1.73173074207297
"LEAP2",1.71477213402584
"PITX1",-4.52834042056547
"SLC25A48",1.3497337470567
"TGFBI",-2.5652201429159
"CTB-1I21.1",-1.10287421539328
"KLHL3",2.08967977391034
"KIF20A",2.3654754805771
"CDC25C",1.84369925812294
"PROB1",1.8588399064399
"ECSCR",1.0581950530508
"NRG2",1.10336543625963
"HBEGF",-2.72466266252989
"VTRNA1-3",1.48869055089106
"FGF1",-1.73460185593673
"YIPF5",-1.3941076287451
"KCTD16",-2.56161639003607
"PPP2R2B",-1.12249137876328
"AFAP1L1",2.30861033130552
"ARSI",-3.11877303246102
"SYNPO",-1.31664550216182
"CCDC69",1.52507791633463
"SPARC",-1.42876006065374
"GRIA1",-4.89840356629317
"GALNT10",-1.70085970161238
"PTTG1",1.4199289100562
"GABRB2",1.96423206651558
"HMMR",2.42541499770346
"SLIT3",-2.04989595607579
"KCNIP1",-2.77359958958761
"GABRP",-6.83636471572276
"FGF18",1.27206907887477
"NKX2-5",2.31528836339518
"CPEB4",1.04291586642647
"PDLIM7",-1.38802347988924
"FOXC1",2.01952690141903
"TUBB2A",-1.0752444341256
"TFAP2A",-2.6644001985775
"EDN1",1.00942497240595
"RBM24",2.7859052078192
"CAP2",1.23104957642817
"TDP2",1.03779056837649
"ACOT13",1.19546425853231
"H4C3",1.00265108695318
"H2BC9",1.30194562595018
"H2BC12",-2.00788398891294
"ZNF204P",1.12603524826606
"LOC124901306",-2.89315952716545
"SCUBE3",-1.20165012153489
"LOC124901310",1.67838567226266
"FKBP5",1.57888255724289
"CDKN1A",-1.17674068124195
"APOBEC2",1.82499011627741
"SLC22A7",1.54712910108468
"RUNX2",-2.40744531254264
"RCAN2",1.04460752080087
"GSTA2",1.68131258731839
"RN7SK",2.18745700456984
"BMP5",1.19049529911965
"COL21A1",-2.65043032605281
"BAG2",-1.08599746346713
"COL9A1",1.04825540668095
"OGFRL1",-3.42253938441942
"RIMS1",-5.30301996605396
"SLC17A5",-1.14474296619723
"COL12A1",-1.2097235991603
"FILIP1",1.13710031623794
"TTK",1.14131460070677
"TENT5A",-1.69803247560659
"PGM3",-1.47858573281066
"ME1",-1.07606582133262
"PRSS35",-3.04932968969732
"LOC107986620",-2.25097095391346
"CGA",-1.7999806155902
"RRAGD",2.39329851461158
"EPHA7",1.37870184057577
"SIM1",-1.53063878664149
"BVES",1.94032194956827
"POPDC3",2.05734716524601
"SOBP",1.06577052317273
"LAMA4",1.86455747153313
"HS3ST5",1.50430632630319
"NT5DC1",1.31146727165842
"PLN",1.98689064695075
"FAM184A",1.95053130939803
"MAN1A1",-1.8409001244525
"TRDN",2.42357318136224
"HEY2",1.47603990626756
"SMLR1",2.29346979379406
"EPB41L2",1.18273231423219
"MOXD1",2.88512177459958
"TNFAIP3",-2.02094487313112
